@relation feature

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute label {'Person 1','Person 2','Person 3','Person 4','Person 5'}

@data
0.583677,0.889686,0.898125,0.74693,0.456636,1.1504,1.13628,0.946625,2.704393,'Person 1'
0.578869,0.892658,0.89776,0.744264,0.453797,1.157935,1.138101,0.946377,2.70256,'Person 1'
0.579394,0.894791,0.901815,0.756269,0.452635,1.162107,1.136249,0.949535,2.693534,'Person 1'
0.583828,0.877589,0.896529,0.745191,0.457371,1.139547,1.133251,0.942803,2.707664,'Person 1'
0.581192,0.883974,0.90347,0.742123,0.457252,1.127157,1.137665,0.94045,2.66707,'Person 1'
0.584933,0.890507,0.896764,0.74382,0.45848,1.128187,1.137547,0.943743,2.674539,'Person 1'
0.574567,0.884002,0.894324,0.728335,0.452495,1.137172,1.136749,0.945377,2.693551,'Person 1'
0.559531,0.889167,0.910886,0.760972,0.455794,1.123978,1.117622,0.867682,2.778107,'Person 1'
0.581663,0.902519,0.901529,0.727672,0.463065,1.045229,1.09869,0.77806,2.830446,'Person 2'
0.616132,0.911849,0.918275,0.765117,0.453212,1.182589,1.098327,0.907689,2.783623,'Person 2'
0.644619,0.908032,0.926881,0.770541,0.44821,1.187256,1.103498,0.897577,2.713995,'Person 2'
0.576251,0.886418,0.91283,0.773587,0.45105,1.156534,1.104414,0.942079,2.746508,'Person 2'
0.596192,0.90269,0.92277,0.763213,0.453037,1.122051,1.09724,0.853846,2.865517,'Person 2'
0.600476,0.920491,0.911096,0.734803,0.459912,1.165194,1.094757,0.825647,2.846458,'Person 2'
0.611579,0.918067,0.940441,0.779617,0.450075,1.131541,1.094262,0.842211,2.769813,'Person 2'
0.581663,0.902519,0.901529,0.727672,0.463065,1.045229,1.09869,0.77806,2.830446,'Person 2'
0.554378,0.85862,0.925379,0.734097,0.449874,1.184838,1.107113,0.922463,2.813124,'Person 3'
0.578374,0.868605,0.918398,0.732199,0.455918,1.132959,1.101353,0.915049,2.825716,'Person 3'
0.568283,0.860877,0.955859,0.80494,0.453369,1.214015,1.117481,0.922578,2.770259,'Person 3'
0.576563,0.858713,0.942827,0.779432,0.453888,1.155662,1.100454,0.880684,2.818484,'Person 3'
0.562886,0.853784,0.934682,0.753039,0.459424,1.124073,1.096563,0.854573,2.755926,'Person 3'
0.568283,0.860877,0.955859,0.80494,0.453369,1.214015,1.117481,0.922578,2.770259,'Person 3'
0.554378,0.85862,0.925379,0.734097,0.449874,1.184838,1.107113,0.922463,2.813124,'Person 3'
0.578374,0.868605,0.918398,0.732199,0.455918,1.132959,1.101353,0.915049,2.825716,'Person 3'
0.548688,0.869405,0.904163,0.746692,0.438203,1.166199,1.125341,0.972388,2.644536,'Person 4'
0.558855,0.871631,0.90511,0.759294,0.438299,1.165435,1.129384,0.970244,2.677701,'Person 4'
0.565682,0.866508,0.898677,0.752007,0.442843,1.158778,1.125275,0.9787,2.740404,'Person 4'
0.568287,0.866995,0.905113,0.781855,0.44177,1.159996,1.13095,0.97939,2.706905,'Person 4'
0.563951,0.868416,0.911012,0.790904,0.44045,1.14955,1.130235,0.971175,2.739839,'Person 4'
0.557211,0.867761,0.906473,0.77467,0.442866,1.151118,1.129608,0.974277,2.742478,'Person 4'
0.577391,0.876171,0.919636,0.79159,0.442475,1.132247,1.106013,0.804401,2.784047,'Person 4'
0.571697,0.891574,0.915964,0.792813,0.440578,1.135155,1.120964,0.796849,2.822154,'Person 4'
0.604434,0.864288,0.900565,0.764004,0.442746,1.11028,1.104569,0.820867,2.928773,'Person 4'
0.609215,0.865453,0.897796,0.772859,0.44149,1.142903,1.100831,0.833158,2.903709,'Person 5'
0.601217,0.872025,0.902718,0.771904,0.443337,1.125414,1.100364,0.831981,2.940081,'Person 5'
0.622003,0.870549,0.910365,0.772609,0.442772,1.148311,1.100718,0.832919,2.943824,'Person 5'
0.61766,0.870497,0.911592,0.76449,0.4434,1.151277,1.102168,0.833593,2.960474,'Person 5'
0.621112,0.869166,0.905706,0.766069,0.444323,1.129249,1.100108,0.830766,2.935223,'Person 5'
0.597905,0.864048,0.895469,0.767164,0.442893,1.138359,1.105158,0.838083,2.910588,'Person 5'
0.606078,0.863124,0.91127,0.771254,0.44303,1.125925,1.103447,0.826912,2.902841,'Person 5'
